time_sec,x,y,yaw
1.7,-1.999975599362988,-0.5000011745663814,5.308669357058049e-07
2.7,-1.999931044789687,-0.5000017196266175,1.4434180941357747e-06
3.7,-1.999931044789687,-0.5000017196266175,1.4434180941357747e-06
4.6,-1.999941060121389,-0.5000032846111278,2.4364475209842363e-06
6.0,-1.9999420497769338,-0.5000037473669242,2.805586392880337e-06
6.0,-1.9999420497769338,-0.5000037473669242,2.805586392880337e-06
6.0,-1.9999420497769338,-0.5000037473669242,2.805586392880337e-06
6.0,-1.9999420497769338,-0.5000037473669242,2.805586392880337e-06
6.1,-1.9999409088637687,-0.5000037751251485,2.8751155203061145e-06
6.1,-1.9999409088637687,-0.5000037751251485,2.8751155203061145e-06
6.3,-1.999939789918878,-0.5000038276980115,2.9853620500325896e-06
6.3,-1.999939789918878,-0.5000038276980115,2.9853620500325896e-06
6.5,-1.9999414689124386,-0.5000038838213288,2.9655586680993566e-06
6.5,-1.9999414689124386,-0.5000038838213288,2.9655586680993566e-06
6.6,-1.9999407149346362,-0.5000039147105934,3.034906933090249e-06
6.7,-1.9999407149346362,-0.5000039147105934,3.034906933090249e-06
6.7,-1.9999407149346362,-0.5000039147105934,3.034906933090249e-06
6.7,-1.9999407149346362,-0.5000039147105934,3.034906933090249e-06
6.7,-1.9999407149346362,-0.5000039147105934,3.034906933090249e-06
11.5,-1.9999395233995019,-0.5000044333575222,3.970821933305945e-06
16.5,-1.9999384284658224,-0.5000045394474067,4.597932230480761e-06
21.4,-1.9999373052179954,-0.5000045691545205,5.199331148851889e-06
26.4,-1.9999361989880402,-0.5000045846773553,5.7861945101444254e-06
31.4,-1.9999350830074438,-0.5000045976586903,6.396857044431112e-06
36.3,-1.9999339338336797,-0.5000046102057275,6.987615222527365e-06
41.3,-1.999932838970541,-0.5000046227605108,7.5906673597882885e-06
46.3,-1.9999317052381218,-0.5000046350469421,8.23860468144845e-06
51.2,-1.9999305720711227,-0.5000046477950498,8.793093138896119e-06
56.2,-1.999929475260232,-0.5000046600205157,9.430037925403824e-06
61.1,-1.9999283249460034,-0.5000046723319542,1.0045022489980103e-05
66.1,-1.9999272206697298,-0.5000046856839342,1.065267974892309e-05
