time_sec,coverage,known_cells,total_cells
20.6,0.007313397047237351,427,58386
25.5,0.007313397047237351,427,58386
30.5,0.007313397047237351,427,58386
35.5,0.007313397047237351,427,58386
40.5,0.007313397047237351,427,58386
45.5,0.007313397047237351,427,58386
50.4,0.007313397047237351,427,58386
55.4,0.007313397047237351,427,58386
60.4,0.007313397047237351,427,58386
65.4,0.007313397047237351,427,58386
70.4,0.007313397047237351,427,58386
75.3,0.007313397047237351,427,58386
80.3,0.007313397047237351,427,58386
85.3,0.007313397047237351,427,58386
90.3,0.007313397047237351,427,58386
95.3,0.007313397047237351,427,58386
100.3,0.007313397047237351,427,58386
105.3,0.007313397047237351,427,58386
110.3,0.007313397047237351,427,58386
115.3,0.007313397047237351,427,58386
120.3,0.007313397047237351,427,58386
125.3,0.007313397047237351,427,58386
130.3,0.007313397047237351,427,58386
135.3,0.007313397047237351,427,58386
140.3,0.007313397047237351,427,58386
145.3,0.007313397047237351,427,58386
150.3,0.007313397047237351,427,58386
155.3,0.007313397047237351,427,58386
160.3,0.007313397047237351,427,58386
165.3,0.007313397047237351,427,58386
170.3,0.007313397047237351,427,58386
175.3,0.007313397047237351,427,58386
180.3,0.007313397047237351,427,58386
185.2,0.007313397047237351,427,58386
190.2,0.007313397047237351,427,58386
195.2,0.007313397047237351,427,58386
200.2,0.007313397047237351,427,58386
205.2,0.007313397047237351,427,58386
210.2,0.007313397047237351,427,58386
215.2,0.007313397047237351,427,58386
220.2,0.007313397047237351,427,58386
225.2,0.007313397047237351,427,58386
230.2,0.007313397047237351,427,58386
235.2,0.007313397047237351,427,58386
240.2,0.007313397047237351,427,58386
245.2,0.007313397047237351,427,58386
250.2,0.007313397047237351,427,58386
255.2,0.007313397047237351,427,58386
260.2,0.007313397047237351,427,58386
265.2,0.007313397047237351,427,58386
270.2,0.007313397047237351,427,58386
275.2,0.007313397047237351,427,58386
280.2,0.007313397047237351,427,58386
285.2,0.007313397047237351,427,58386
290.1,0.007313397047237351,427,58386
295.1,0.007313397047237351,427,58386
300.1,0.007313397047237351,427,58386
305.1,0.007313397047237351,427,58386
310.1,0.007313397047237351,427,58386
315.1,0.007313397047237351,427,58386
320.1,0.021512006302880828,1256,58386
325.1,0.021512006302880828,1256,58386
330.1,0.021512006302880828,1256,58386
335.1,0.021512006302880828,1256,58386
340.1,0.021512006302880828,1256,58386
345.1,0.021512006302880828,1256,58386
350.1,0.021512006302880828,1256,58386
355.1,0.021512006302880828,1256,58386
360.1,0.021512006302880828,1256,58386
365.1,0.021512006302880828,1256,58386
370.1,0.07570307950536087,4420,58386
375.1,0.07570307950536087,4420,58386
380.1,0.07570307950536087,4420,58386
385.1,0.07570307950536087,4420,58386
390.1,0.07570307950536087,4420,58386
395.1,0.07570307950536087,4420,58386
400.1,0.07570307950536087,4420,58386
405.1,0.07570307950536087,4420,58386
410.1,0.07570307950536087,4420,58386
415.1,0.07570307950536087,4420,58386
420.0,0.11259548521905936,6574,58386
425.0,0.11259548521905936,6574,58386
430.0,0.11259548521905936,6574,58386
435.0,0.11259548521905936,6574,58386
440.0,0.11259548521905936,6574,58386
445.0,0.11259548521905936,6574,58386
450.0,0.11259548521905936,6574,58386
455.0,0.11259548521905936,6574,58386
460.0,0.11259548521905936,6574,58386
465.0,0.11259548521905936,6574,58386
470.0,0.19485835645531463,11377,58386
475.0,0.19485835645531463,11377,58386
480.0,0.19485835645531463,11377,58386
485.0,0.19485835645531463,11377,58386
490.0,0.19485835645531463,11377,58386
495.0,0.19485835645531463,11377,58386
500.0,0.19485835645531463,11377,58386
505.0,0.19485835645531463,11377,58386
510.0,0.19485835645531463,11377,58386
515.0,0.19485835645531463,11377,58386
520.0,0.2072072072072072,12098,58386
525.0,0.2072072072072072,12098,58386
530.0,0.2072072072072072,12098,58386
535.0,0.2072072072072072,12098,58386
540.0,0.2072072072072072,12098,58386
545.0,0.2072072072072072,12098,58386
550.0,0.2072072072072072,12098,58386
555.0,0.2072072072072072,12098,58386
559.9,0.2072072072072072,12098,58386
564.9,0.2072072072072072,12098,58386
569.9,0.2877744664816908,16802,58386
574.9,0.2877744664816908,16802,58386
579.9,0.2877744664816908,16802,58386
584.9,0.2877744664816908,16802,58386
589.9,0.2877744664816908,16802,58386
594.9,0.2877744664816908,16802,58386
599.9,0.2877744664816908,16802,58386
604.9,0.2877744664816908,16802,58386
609.9,0.2877744664816908,16802,58386
614.9,0.2877744664816908,16802,58386
619.9,0.3554961805912376,20756,58386
624.9,0.3554961805912376,20756,58386
629.9,0.3554961805912376,20756,58386
634.9,0.3554961805912376,20756,58386
639.9,0.3554961805912376,20756,58386
644.9,0.3554961805912376,20756,58386
649.9,0.3554961805912376,20756,58386
654.9,0.3554961805912376,20756,58386
659.9,0.3554961805912376,20756,58386
664.9,0.3554961805912376,20756,58386
669.9,0.35602712979138834,20787,58386
674.9,0.35602712979138834,20787,58386
679.9,0.35602712979138834,20787,58386
684.9,0.35602712979138834,20787,58386
689.9,0.35602712979138834,20787,58386
694.9,0.35602712979138834,20787,58386
699.9,0.35602712979138834,20787,58386
704.9,0.35602712979138834,20787,58386
709.8,0.35602712979138834,20787,58386
714.8,0.35602712979138834,20787,58386
719.8,0.35602712979138834,20787,58386
724.8,0.35602712979138834,20787,58386
729.8,0.35602712979138834,20787,58386
734.8,0.35602712979138834,20787,58386
739.8,0.35602712979138834,20787,58386
744.8,0.35602712979138834,20787,58386
