time_sec,x,y,yaw
1.3,-1.999962679120177,-0.500000790370199,3.998480665964461e-07
2.3,-1.999935902893116,-0.5000017585247915,1.4146687810700423e-06
3.3,-1.9999463497534395,-0.5000025574804462,1.7412751836473896e-06
4.3,-1.9999438407628647,-0.500003126720791,2.218210669747707e-06
5.3,-1.999942990757618,-0.5000035482548507,2.5786904423310707e-06
6.3,-1.9999400509236782,-0.50000383602009,2.9816744410925465e-06
10.6,-1.9999397094092621,-0.5000043883483016,3.777838913806957e-06
15.6,-1.999938579052208,-0.5000045300788909,4.487396457490213e-06
20.6,-1.9999374558907157,-0.5000045662962581,5.118522743272991e-06
25.5,-1.9999363625799516,-0.5000045826259972,5.677165928204297e-06
30.5,-1.9999352545918792,-0.5000045952210597,6.331752692583653e-06
35.5,-1.9999341160274078,-0.500004608768949,6.934702921101386e-06
40.5,-1.9999329771014296,-0.5000046221129354,7.51150416562183e-06
45.5,-1.9999319017028778,-0.5000046331281344,8.112786426860302e-06
50.4,-1.9999307655757879,-0.5000046455418209,8.729040674993915e-06
55.4,-1.9999296092587262,-0.5000046588370796,9.340952185216339e-06
60.4,-1.9999285250466214,-0.5000046704958675,9.95596435655875e-06
65.4,-1.999928001002326,-0.5000046763608991,1.01803142355449e-05
70.4,-1.999928001002326,-0.5000046763608991,1.01803142355449e-05
75.3,-1.9999251173346877,-0.500004710327444,1.1767328805082687e-05
80.3,-1.9999240178758941,-0.5000047205600012,1.2323616436465207e-05
85.3,-1.9999229047961347,-0.5000047330648878,1.2966356140293254e-05
90.3,-1.999921743218537,-0.5000047459988209,1.3561523272572185e-05
95.3,-1.9999206642589729,-0.500004757726945,1.4148444417966677e-05
100.3,-1.9999195326817185,-0.5000047701677212,1.4765086559713212e-05
105.3,-1.9999184028929313,-0.5000047829608,1.5351755310949994e-05
110.3,-1.9999172678712815,-0.5000047952593489,1.600111379711611e-05
115.3,-1.999916120457584,-0.5000048083950309,1.6607954024142704e-05
120.3,-1.9999150046864178,-0.500004820836301,1.7224698547241095e-05
125.3,-1.9999138677008754,-0.5000048332839444,1.781957330000794e-05
130.3,-1.9999127711406688,-0.5000048453420561,1.8403045129498635e-05
135.3,-1.9999116387823588,-0.5000048582446724,1.9048986005260104e-05
140.3,-1.9999105045659888,-0.5000048713160402,1.9635317930200393e-05
145.3,-1.9999094050198827,-0.5000048826237158,2.020527715215013e-05
150.3,-1.9999082625083842,-0.500004897333537,2.0862525121418738e-05
155.3,-1.9999071048422405,-0.5000049073250253,2.141294812141076e-05
160.3,-1.9999059841349802,-0.5000049198194583,2.2031133744719855e-05
165.3,-1.9999048479326782,-0.5000049340791253,2.265300303238023e-05
170.3,-1.999903744936228,-0.5000049450259235,2.3243201710006483e-05
175.3,-1.9999026561874973,-0.5000049576317137,2.3841289212542455e-05
180.3,-1.9999014898010987,-0.5000049701653155,2.4443673757755553e-05
185.2,-1.9999003767819157,-0.5000049830367496,2.5077613615973158e-05
190.2,-1.999899231499461,-0.5000049943305639,2.5650881042022555e-05
195.2,-1.9998981137421867,-0.5000050079758288,2.628041427681052e-05
200.2,-1.9998969846116958,-0.5000050204130471,2.687893799823314e-05
205.2,-1.9998958682420367,-0.5000050320942973,2.7473193856928624e-05
210.2,-1.99989472842137,-0.5000050454250143,2.8113649706474672e-05
215.2,-1.9998936514163663,-0.5000050571791456,2.8702068802610853e-05
220.2,-1.999892470503378,-0.5000050706526694,2.932372434210425e-05
225.2,-1.99989135699134,-0.500005083966411,2.9925405276093984e-05
230.2,-1.9998902321669612,-0.5000050948916043,3.0518844127009064e-05
235.2,-1.9998891208098837,-0.5000051076726912,3.114764979961897e-05
240.2,-1.999888018122559,-0.5000051194163386,3.171332076024941e-05
245.2,-1.999886854867444,-0.5000051334292422,3.2321126940239635e-05
250.2,-1.9998857213087706,-0.5000051452276806,3.293876200547925e-05
255.2,-1.9998846148149623,-0.5000051583735351,3.355636850650816e-05
260.2,-1.9998835087554145,-0.500005169300875,3.413179461221472e-05
265.2,-1.999882392702905,-0.5000051817794613,3.4743847828922244e-05
270.2,-1.9998812273482378,-0.5000051938775031,3.536073779553727e-05
275.2,-1.9998801095506507,-0.5000052075899123,3.599884611279239e-05
280.2,-1.999878977443316,-0.5000052184019647,3.6544644267195645e-05
285.2,-1.9998778614621668,-0.5000052318823015,3.721431421537823e-05
