time_sec,coverage,known_cells,total_cells
2.3,0.007655944918302333,447,58386
2.3,0.007655944918302333,447,58386
2.3,0.007655944918302333,447,58386
2.3,0.007655944918302333,447,58386
2.3,0.007655944918302333,447,58386
2.3,0.007655944918302333,447,58386
2.6,0.007655944918302333,447,58386
2.6,0.007655944918302333,447,58386
2.6,0.007655944918302333,447,58386
2.6,0.007655944918302333,447,58386
2.6,0.007655944918302333,447,58386
2.6,0.007655944918302333,447,58386
2.7,0.007655944918302333,447,58386
2.7,0.007655944918302333,447,58386
2.7,0.007655944918302333,447,58386
2.7,0.007655944918302333,447,58386
2.7,0.007655944918302333,447,58386
7.6,0.007655944918302333,447,58386
12.5,0.007655944918302333,447,58386
17.5,0.007655944918302333,447,58386
22.5,0.007655944918302333,447,58386
27.4,0.007655944918302333,447,58386
32.4,0.007655944918302333,447,58386
37.4,0.007655944918302333,447,58386
42.3,0.007655944918302333,447,58386
47.3,0.007655944918302333,447,58386
52.3,0.007655944918302333,447,58386
57.2,0.007655944918302333,447,58386
62.2,0.007655944918302333,447,58386
67.2,0.007655944918302333,447,58386
72.1,0.007655944918302333,447,58386
77.1,0.007655944918302333,447,58386
82.1,0.007655944918302333,447,58386
87.1,0.007655944918302333,447,58386
92.0,0.007655944918302333,447,58386
97.0,0.007655944918302333,447,58386
102.0,0.007655944918302333,447,58386
106.9,0.007655944918302333,447,58386
111.9,0.007655944918302333,447,58386
116.9,0.007655944918302333,447,58386
121.9,0.007655944918302333,447,58386
126.8,0.007655944918302333,447,58386
131.8,0.007655944918302333,447,58386
136.8,0.007655944918302333,447,58386
141.7,0.007655944918302333,447,58386
146.7,0.007655944918302333,447,58386
151.7,0.007655944918302333,447,58386
156.6,0.007655944918302333,447,58386
161.6,0.007655944918302333,447,58386
166.6,0.007655944918302333,447,58386
171.5,0.007655944918302333,447,58386
176.5,0.007655944918302333,447,58386
181.5,0.007655944918302333,447,58386
186.4,0.007655944918302333,447,58386
191.4,0.007655944918302333,447,58386
196.4,0.007655944918302333,447,58386
201.4,0.007655944918302333,447,58386
206.3,0.007655944918302333,447,58386
211.3,0.007655944918302333,447,58386
216.3,0.007655944918302333,447,58386
221.3,0.007655944918302333,447,58386
226.3,0.007655944918302333,447,58386
231.2,0.007655944918302333,447,58386
236.2,0.007655944918302333,447,58386
241.2,0.007655944918302333,447,58386
246.1,0.007655944918302333,447,58386
251.1,0.007655944918302333,447,58386
256.1,0.007655944918302333,447,58386
261.1,0.007655944918302333,447,58386
266.1,0.007655944918302333,447,58386
271.0,0.007655944918302333,447,58386
276.0,0.007655944918302333,447,58386
280.9,0.007655944918302333,447,58386
285.9,0.007655944918302333,447,58386
290.9,0.007655944918302333,447,58386
295.9,0.007655944918302333,447,58386
300.8,0.007655944918302333,447,58386
305.8,0.007655944918302333,447,58386
310.7,0.007655944918302333,447,58386
315.7,0.007655944918302333,447,58386
320.7,0.007655944918302333,447,58386
325.6,0.007655944918302333,447,58386
330.6,0.007655944918302333,447,58386
335.6,0.007655944918302333,447,58386
340.6,0.007655944918302333,447,58386
345.6,0.007655944918302333,447,58386
350.5,0.007655944918302333,447,58386
355.5,0.007655944918302333,447,58386
360.4,0.007655944918302333,447,58386
365.4,0.007655944918302333,447,58386
370.4,0.007655944918302333,447,58386
375.3,0.007655944918302333,447,58386
380.3,0.007655944918302333,447,58386
385.2,0.007655944918302333,447,58386
390.2,0.007655944918302333,447,58386
395.2,0.007655944918302333,447,58386
400.1,0.007655944918302333,447,58386
405.1,0.007655944918302333,447,58386
410.1,0.007655944918302333,447,58386
415.0,0.007655944918302333,447,58386
420.0,0.007655944918302333,447,58386
424.9,0.007655944918302333,447,58386
429.9,0.007655944918302333,447,58386
434.9,0.007655944918302333,447,58386
439.8,0.007655944918302333,447,58386
444.8,0.007655944918302333,447,58386
449.8,0.007655944918302333,447,58386
454.8,0.007655944918302333,447,58386
459.8,0.007655944918302333,447,58386
464.7,0.007655944918302333,447,58386
469.7,0.007655944918302333,447,58386
474.6,0.007655944918302333,447,58386
479.6,0.007655944918302333,447,58386
484.6,0.007655944918302333,447,58386
489.6,0.007655944918302333,447,58386
494.5,0.007655944918302333,447,58386
499.5,0.007655944918302333,447,58386
504.5,0.007655944918302333,447,58386
509.5,0.007655944918302333,447,58386
514.5,0.007655944918302333,447,58386
519.4,0.007655944918302333,447,58386
524.4,0.007655944918302333,447,58386
529.4,0.007655944918302333,447,58386
534.3,0.007655944918302333,447,58386
539.3,0.007655944918302333,447,58386
544.3,0.007655944918302333,447,58386
549.2,0.007655944918302333,447,58386
554.2,0.007655944918302333,447,58386
559.2,0.007655944918302333,447,58386
564.1,0.007655944918302333,447,58386
569.1,0.007655944918302333,447,58386
574.1,0.007655944918302333,447,58386
579.0,0.007655944918302333,447,58386
584.0,0.007655944918302333,447,58386
589.0,0.007655944918302333,447,58386
593.9,0.007655944918302333,447,58386
598.9,0.007655944918302333,447,58386
603.9,0.007655944918302333,447,58386
608.8,0.007655944918302333,447,58386
613.8,0.007655944918302333,447,58386
618.8,0.007655944918302333,447,58386
623.7,0.007655944918302333,447,58386
628.7,0.007655944918302333,447,58386
633.6,0.007655944918302333,447,58386
638.6,0.007655944918302333,447,58386
643.6,0.007655944918302333,447,58386
648.6,0.007655944918302333,447,58386
653.6,0.007655944918302333,447,58386
658.5,0.007655944918302333,447,58386
663.5,0.007655944918302333,447,58386
668.5,0.007655944918302333,447,58386
673.5,0.007655944918302333,447,58386
678.4,0.007655944918302333,447,58386
683.4,0.007655944918302333,447,58386
688.4,0.007655944918302333,447,58386
693.4,0.007655944918302333,447,58386
698.3,0.007655944918302333,447,58386
703.3,0.007655944918302333,447,58386
708.3,0.007655944918302333,447,58386
713.3,0.007655944918302333,447,58386
718.2,0.007655944918302333,447,58386
723.2,0.007655944918302333,447,58386
728.2,0.007655944918302333,447,58386
733.2,0.007655944918302333,447,58386
738.2,0.007655944918302333,447,58386
743.1,0.007655944918302333,447,58386
748.1,0.007655944918302333,447,58386
753.0,0.007655944918302333,447,58386
758.0,0.007655944918302333,447,58386
763.0,0.007655944918302333,447,58386
767.9,0.007655944918302333,447,58386
772.8,0.007655944918302333,447,58386
777.8,0.007655944918302333,447,58386
782.8,0.007655944918302333,447,58386
787.8,0.007655944918302333,447,58386
792.7,0.007655944918302333,447,58386
797.7,0.007655944918302333,447,58386
802.7,0.007655944918302333,447,58386
807.6,0.007655944918302333,447,58386
812.6,0.007655944918302333,447,58386
817.5,0.007655944918302333,447,58386
822.5,0.007655944918302333,447,58386
827.5,0.007655944918302333,447,58386
