time_sec,x,y,yaw
1.4,-1.9999725842034923,-0.5000009033530122,4.109746649311604e-07
1.7,-1.9999737174862318,-0.5000012080909485,5.457596698618888e-07
1.7,-1.9999737174862318,-0.5000012080909485,5.457596698618888e-07
2.2,-1.999926896751629,-0.5000016629563968,1.4606988204718446e-06
2.2,-1.999926896751629,-0.5000016629563968,1.4606988204718446e-06
2.3,-1.999935902893116,-0.5000017585247915,1.4146687810700423e-06
2.3,-1.999935902893116,-0.5000017585247915,1.4146687810700423e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.3,-1.999940564519353,-0.5000017886267584,1.3607061111511003e-06
2.6,-1.999962720476945,-0.5000020533275066,1.1308811432356257e-06
2.6,-1.999962720476945,-0.5000020533275066,1.1308811432356257e-06
2.6,-1.999962720476945,-0.5000020533275066,1.1308811432356257e-06
2.6,-1.999962720476945,-0.5000020533275066,1.1308811432356257e-06
2.6,-1.999962720476945,-0.5000020533275066,1.1308811432356257e-06
2.6,-1.999962720476945,-0.5000020533275066,1.1308811432356257e-06
2.7,-1.999961999169409,-0.5000021098827064,1.0389689753377763e-06
2.7,-1.999961999169409,-0.5000021098827064,1.0389689753377763e-06
2.7,-1.999961999169409,-0.5000021098827064,1.0389689753377763e-06
2.7,-1.999961999169409,-0.5000021098827064,1.0389689753377763e-06
2.7,-1.9999608811454639,-0.5000021358118992,1.0490858684298896e-06
7.6,-1.999940624536168,-0.5000040957763765,3.2494765138942646e-06
12.5,-1.9999392686964237,-0.5000044701975151,4.0816252307813805e-06
17.5,-1.9999381811833423,-0.5000045483337546,4.757935086111785e-06
22.5,-1.9999370061546122,-0.5000045743843623,5.3376050485947146e-06
27.4,-1.9999359130078604,-0.5000045875181974,5.942700136330371e-06
32.4,-1.999934826331941,-0.5000046004892348,6.5235118078824e-06
37.4,-1.9999336793825941,-0.500004613601875,7.141409533926271e-06
42.3,-1.9999325913790542,-0.5000046255947018,7.758377703943723e-06
47.3,-1.9999314531808308,-0.5000046404931721,8.36827903650316e-06
52.3,-1.9999303482603978,-0.5000046504402922,8.948681332213313e-06
57.2,-1.9999292084676268,-0.5000046635365913,9.564188870229391e-06
62.2,-1.9999280971596407,-0.5000046760023955,1.0174851697697612e-05
67.2,-1.9999269656989456,-0.5000046879865309,1.0790059463558845e-05
72.1,-1.9999258405356712,-0.5000047020639078,1.137618863380567e-05
77.1,-1.999924771477316,-0.5000047130927716,1.1969597662844576e-05
82.1,-1.9999236167479264,-0.500004725133168,1.2525442321502958e-05
87.1,-1.9999225094176458,-0.5000047381412366,1.318230280351976e-05
92.0,-1.9999213651123424,-0.5000047500743606,1.3751485317329492e-05
97.0,-1.9999202817283481,-0.5000047619610624,1.4358103993566808e-05
102.0,-1.999919113052212,-0.5000047747683127,1.499714924185142e-05
106.9,-1.9999180172593516,-0.5000047870770885,1.5551669875964273e-05
111.9,-1.9999169009794475,-0.5000047993753717,1.6172050720008343e-05
116.9,-1.9999158077222854,-0.5000048118749606,1.6787219900404483e-05
121.9,-1.99991464052387,-0.5000048265322536,1.7411272243593896e-05
126.8,-1.9999134893294026,-0.5000048366006175,1.7983751951089127e-05
131.8,-1.9999124124529222,-0.5000048492093501,1.861001506955561e-05
136.8,-1.9999112920509248,-0.5000048621286802,1.9217332790093313e-05
141.7,-1.9999101572698297,-0.500004874441237,1.9817892588302407e-05
146.7,-1.9999090571887046,-0.500004888906465,2.0414912173436114e-05
151.7,-1.9999079039248135,-0.5000048988653308,2.1001356825384562e-05
156.6,-1.9999068009917405,-0.5000049110419601,2.159261103841754e-05
161.6,-1.999905688894864,-0.5000049251998078,2.22218454027983e-05
166.6,-1.9999046092973383,-0.5000049358826697,2.2789281464951296e-05
171.5,-1.9999034700887033,-0.5000049485904878,2.3441272126592254e-05
176.5,-1.9999023268817973,-0.5000049625615439,2.403329272292263e-05
181.5,-1.9999012532317235,-0.5000049728887098,2.461553717077263e-05
186.4,-1.9999000954338897,-0.5000049849177629,2.5208616241558592e-05
191.4,-1.9998989611113498,-0.5000049978616897,2.5825376014159765e-05
196.4,-1.9998978567430634,-0.5000050103494167,2.6399493605350572e-05
201.4,-1.9998967352127746,-0.5000050247911466,2.705116018253663e-05
206.3,-1.9998956361575086,-0.5000050350615867,2.7597321264742287e-05
211.3,-1.999894501672659,-0.5000050475579962,2.8200187376442776e-05
216.3,-1.999893362658572,-0.5000050611319767,2.8846755535113647e-05
221.3,-1.9998922288160896,-0.5000050726041823,2.945574794991172e-05
226.3,-1.999891134179865,-0.5000050842578103,3.002161906227532e-05
231.2,-1.9998900320645472,-0.500005096771741,3.062329635936027e-05
236.2,-1.9998889069403352,-0.5000051101483478,3.126614430714008e-05
241.2,-1.9998877627302938,-0.5000051217758105,3.183179250415935e-05
246.1,-1.999886678011525,-0.5000051343608103,3.245728999988954e-05
251.1,-1.9998855212812563,-0.5000051467147407,3.304197678331531e-05
256.1,-1.9998844248628882,-0.5000051587744339,3.365021600705911e-05
261.1,-1.999883289735564,-0.5000051741954031,3.428893563260854e-05
266.1,-1.9998821402769094,-0.5000051847926854,3.487611428132458e-05
271.0,-1.99988100651398,-0.5000051964097108,3.546476520342191e-05
276.0,-1.9998799325703485,-0.5000052094832099,3.610643865804791e-05
280.9,-1.999878807547091,-0.5000052211477166,3.664250931836467e-05
285.9,-1.9998777080640862,-0.5000052333823884,3.726375238056929e-05
290.9,-1.9998766057046167,-0.5000052458048049,3.786419461841873e-05
295.9,-1.999875473579021,-0.5000052582342078,3.847329885202998e-05
300.8,-1.999874356371713,-0.5000052706294188,3.910103908024014e-05
305.8,-1.9998732235899275,-0.500005282961923,3.966078739012191e-05
310.7,-1.9998721334120888,-0.5000052953149404,4.0269385628127714e-05
315.7,-1.9998709785573043,-0.5000053084606252,4.089714615132862e-05
320.7,-1.9998698494421059,-0.5000053205347827,4.147524940998177e-05
325.6,-1.999868766859695,-0.5000053340433588,4.211121122933617e-05
330.6,-1.9998676108271767,-0.5000053453194662,4.267440127037527e-05
335.6,-1.999866520301188,-0.5000053570063951,4.328228602704554e-05
340.6,-1.9998653914590905,-0.5000053702697982,4.392466314210989e-05
345.6,-1.999864289106703,-0.5000053820396497,4.448958260487063e-05
350.5,-1.9998631708992287,-0.5000053944588886,4.51237384999562e-05
355.5,-1.99986205365049,-0.5000054078538168,4.571684263288204e-05
360.4,-1.9998608789778543,-0.50000541959926,4.6322509514826294e-05
365.4,-1.9998597648140908,-0.5000054316034452,4.6895045901784256e-05
370.4,-1.999858651660275,-0.5000054439552977,4.753546666821914e-05
375.3,-1.99985758092276,-0.5000054562715756,4.813969186827433e-05
380.3,-1.9998564389183042,-0.5000054696081447,4.8745820868559976e-05
385.2,-1.9998553429401573,-0.5000054809443445,4.9313609438588774e-05
390.2,-1.9998541779303767,-0.500005493582845,4.991520491964661e-05
395.2,-1.999853055777538,-0.5000055073068569,5.054844812416845e-05
400.1,-1.999851940313734,-0.5000055186523725,5.112794397858658e-05
405.1,-1.9998508658607577,-0.5000055303384702,5.17133710663603e-05
410.1,-1.9998497582889159,-0.5000055426497138,5.2322411481537515e-05
415.0,-1.9998486409681098,-0.5000055548728266,5.2920343183132914e-05
420.0,-1.9998474565714162,-0.5000055677933476,5.3532697101733e-05
424.9,-1.999846379159305,-0.500005580416053,5.417269904177559e-05
429.9,-1.999845272158305,-0.500005592308244,5.4751900839721515e-05
434.9,-1.9998441385397072,-0.5000056037775438,5.530850283849482e-05
439.8,-1.9998430315207536,-0.5000056168208301,5.596724949298439e-05
444.8,-1.9998419066020918,-0.5000056301151968,5.65762303886985e-05
449.8,-1.9998407659700526,-0.5000056420243483,5.712943971879711e-05
454.8,-1.9998396561851963,-0.5000056549304235,5.778207642437867e-05
459.8,-1.9998385190798196,-0.5000056660856215,5.8333451807455854e-05
464.7,-1.9998374070012666,-0.5000056809388042,5.8985224999982376e-05
469.7,-1.9998363029369455,-0.500005690723026,5.953461101678487e-05
474.6,-1.9998351645065855,-0.5000057039645401,6.014288701244431e-05
479.6,-1.999834088934,-0.5000057155667658,6.076536617502888e-05
484.6,-1.9998329478125974,-0.5000057280402385,6.134126352987405e-05
489.6,-1.9998317870610764,-0.5000057417940892,6.198405792395606e-05
494.5,-1.9998307341217356,-0.5000057527554819,6.257617085012363e-05
499.5,-1.999829587779482,-0.5000057653031409,6.32155438503787e-05
504.5,-1.9998284239148163,-0.5000057777393423,6.379495114626889e-05
509.5,-1.9998273295677362,-0.5000057900551885,6.43656619218194e-05
514.5,-1.9998261946251485,-0.5000058038291231,6.498385223262331e-05
519.4,-1.9998250671538467,-0.5000058153814001,6.559459467724805e-05
524.4,-1.9998239377787008,-0.500005827716571,6.620031933728719e-05
529.4,-1.9998228169053198,-0.5000058394137465,6.680746282021122e-05
534.3,-1.9998217410376875,-0.5000058516999535,6.738358425926643e-05
539.3,-1.999820570709569,-0.5000058646116452,6.802499292903433e-05
544.3,-1.9998194823213398,-0.5000058768687572,6.859026838188912e-05
549.2,-1.99981839309538,-0.500005888613738,6.91992836997549e-05
554.2,-1.999817240061273,-0.5000059014803342,6.980435895370374e-05
559.2,-1.9998161386919844,-0.5000059133513425,7.039144369006453e-05
564.1,-1.9998149894032364,-0.5000059260230079,7.103611103985452e-05
569.1,-1.9998138824181961,-0.5000059392058406,7.164220706928861e-05
574.1,-1.9998127617171384,-0.5000059523258009,7.223600658636781e-05
579.0,-1.9998116902875385,-0.5000059628636709,7.282045352756813e-05
584.0,-1.9998105305414335,-0.5000059771248547,7.343218715105396e-05
589.0,-1.999809414309311,-0.5000059876710565,7.404612985665108e-05
593.9,-1.9998083372576163,-0.500006000220733,7.463314495015422e-05
598.9,-1.9998071751257653,-0.5000060141109024,7.52511550785666e-05
603.9,-1.9998060574192773,-0.5000060266390542,7.585850306205725e-05
608.8,-1.9998049466812224,-0.5000060375281714,7.641646781410627e-05
613.8,-1.9998038338843853,-0.5000060492541729,7.701955616704921e-05
618.8,-1.9998027267744058,-0.5000060615161349,7.762145685265286e-05
623.7,-1.9998016138591967,-0.5000060740525568,7.823614684752938e-05
628.7,-1.9998004838190346,-0.5000060859913533,7.884510891074332e-05
633.6,-1.9997993292179372,-0.5000060990059977,7.9454506227469e-05
638.6,-1.9997982075746314,-0.5000061118924414,8.006474361445614e-05
643.6,-1.9997971037948747,-0.5000061238886206,8.065455107702751e-05
648.6,-1.9997959821114837,-0.5000061366020677,8.12919739966668e-05
653.6,-1.9997948914059454,-0.5000061490007662,8.188832228433198e-05
658.5,-1.999793745020156,-0.500006160682357,8.244145771644098e-05
663.5,-1.9997926262925827,-0.5000061738686459,8.30367819014109e-05
668.5,-1.9997915346043358,-0.500006185020318,8.370976965339364e-05
673.5,-1.9997904297955287,-0.5000061969344193,8.42811413553102e-05
678.4,-1.9997892584822756,-0.5000062102980933,8.487656941219427e-05
