time_sec,coverage,known_cells,total_cells
20.2,0.005398528299291658,314,58164
25.2,0.005398528299291658,314,58164
30.2,0.005398528299291658,314,58164
35.2,0.005398528299291658,314,58164
40.2,0.005398528299291658,314,58164
45.2,0.005398528299291658,314,58164
50.2,0.005398528299291658,314,58164
55.2,0.005398528299291658,314,58164
60.2,0.005398528299291658,314,58164
65.2,0.005398528299291658,314,58164
70.2,0.0510453201292896,2969,58164
75.2,0.0510453201292896,2969,58164
80.2,0.0510453201292896,2969,58164
85.2,0.0510453201292896,2969,58164
90.2,0.0510453201292896,2969,58164
95.2,0.0510453201292896,2969,58164
100.2,0.0510453201292896,2969,58164
105.2,0.0510453201292896,2969,58164
110.2,0.0510453201292896,2969,58164
115.2,0.0510453201292896,2969,58164
120.2,0.09954611099649267,5790,58164
125.2,0.09954611099649267,5790,58164
130.2,0.09954611099649267,5790,58164
135.1,0.09954611099649267,5790,58164
140.1,0.09954611099649267,5790,58164
145.1,0.09954611099649267,5790,58164
150.1,0.09954611099649267,5790,58164
155.1,0.09954611099649267,5790,58164
160.1,0.09954611099649267,5790,58164
165.1,0.09954611099649267,5790,58164
170.1,0.15825940444261055,9205,58164
175.1,0.15825940444261055,9205,58164
180.1,0.15825940444261055,9205,58164
185.1,0.15825940444261055,9205,58164
190.1,0.15825940444261055,9205,58164
195.1,0.15825940444261055,9205,58164
200.1,0.15825940444261055,9205,58164
205.1,0.15825940444261055,9205,58164
210.1,0.15825940444261055,9205,58164
215.1,0.15825940444261055,9205,58164
220.1,0.19207757375696308,11172,58164
225.1,0.19207757375696308,11172,58164
230.1,0.19207757375696308,11172,58164
235.1,0.19207757375696308,11172,58164
240.1,0.19207757375696308,11172,58164
245.1,0.19207757375696308,11172,58164
250.1,0.19207757375696308,11172,58164
255.1,0.19207757375696308,11172,58164
260.1,0.19207757375696308,11172,58164
265.1,0.19207757375696308,11172,58164
270.1,0.23683034179217385,13775,58164
275.1,0.23683034179217385,13775,58164
280.1,0.23683034179217385,13775,58164
285.0,0.23683034179217385,13775,58164
290.0,0.23683034179217385,13775,58164
295.0,0.23683034179217385,13775,58164
300.0,0.23683034179217385,13775,58164
305.0,0.23683034179217385,13775,58164
310.0,0.23683034179217385,13775,58164
315.0,0.23683034179217385,13775,58164
320.0,0.2968330926346194,17265,58164
325.0,0.2968330926346194,17265,58164
330.0,0.2968330926346194,17265,58164
335.0,0.2968330926346194,17265,58164
340.0,0.2968330926346194,17265,58164
345.0,0.2968330926346194,17265,58164
350.0,0.2968330926346194,17265,58164
355.0,0.2968330926346194,17265,58164
360.0,0.2968330926346194,17265,58164
365.0,0.2968330926346194,17265,58164
370.0,0.2992744653049997,17407,58164
375.0,0.2992744653049997,17407,58164
380.0,0.2992744653049997,17407,58164
385.0,0.2992744653049997,17407,58164
390.0,0.2992744653049997,17407,58164
395.0,0.2992744653049997,17407,58164
400.0,0.2992744653049997,17407,58164
405.0,0.2992744653049997,17407,58164
410.0,0.2992744653049997,17407,58164
415.0,0.2992744653049997,17407,58164
420.0,0.3318891410494464,19304,58164
425.0,0.3318891410494464,19304,58164
429.9,0.3318891410494464,19304,58164
434.9,0.3318891410494464,19304,58164
