time_sec,coverage,known_cells,total_cells
20.5,0.010830079011897194,477,44044
25.5,0.010830079011897194,477,44044
30.4,0.010830079011897194,477,44044
35.4,0.010830079011897194,477,44044
40.3,0.010830079011897194,477,44044
45.3,0.010830079011897194,477,44044
50.2,0.010830079011897194,477,44044
55.2,0.010830079011897194,477,44044
60.1,0.010830079011897194,477,44044
65.0,0.010830079011897194,477,44044
70.0,0.15318772136953956,6747,44044
75.0,0.15318772136953956,6747,44044
80.0,0.15318772136953956,6747,44044
85.0,0.15318772136953956,6747,44044
90.0,0.15318772136953956,6747,44044
95.0,0.15318772136953956,6747,44044
100.0,0.15318772136953956,6747,44044
105.0,0.15318772136953956,6747,44044
110.0,0.15318772136953956,6747,44044
115.0,0.15318772136953956,6747,44044
120.0,0.23176823176823177,10208,44044
125.0,0.23176823176823177,10208,44044
130.0,0.23176823176823177,10208,44044
135.0,0.23176823176823177,10208,44044
140.0,0.23176823176823177,10208,44044
145.0,0.23176823176823177,10208,44044
150.0,0.23176823176823177,10208,44044
154.9,0.23176823176823177,10208,44044
159.9,0.23176823176823177,10208,44044
164.9,0.23176823176823177,10208,44044
169.9,0.26616565252928887,11723,44044
174.9,0.26616565252928887,11723,44044
179.9,0.26616565252928887,11723,44044
184.9,0.26616565252928887,11723,44044
189.9,0.26616565252928887,11723,44044
194.9,0.26616565252928887,11723,44044
199.9,0.26616565252928887,11723,44044
204.9,0.26616565252928887,11723,44044
209.9,0.26616565252928887,11723,44044
214.9,0.26616565252928887,11723,44044
219.9,0.3509672146035782,15458,44044
224.9,0.3509672146035782,15458,44044
229.9,0.3509672146035782,15458,44044
234.9,0.3509672146035782,15458,44044
239.9,0.3509672146035782,15458,44044
244.9,0.3509672146035782,15458,44044
249.9,0.3509672146035782,15458,44044
254.9,0.3509672146035782,15458,44044
259.9,0.3509672146035782,15458,44044
264.9,0.3509672146035782,15458,44044
269.9,0.35696122059758423,15722,44044
274.9,0.35696122059758423,15722,44044
279.9,0.35696122059758423,15722,44044
284.9,0.35696122059758423,15722,44044
289.9,0.35696122059758423,15722,44044
294.8,0.35696122059758423,15722,44044
299.8,0.35696122059758423,15722,44044
304.8,0.35696122059758423,15722,44044
309.8,0.35696122059758423,15722,44044
314.8,0.35696122059758423,15722,44044
319.8,0.42493869766597037,18716,44044
324.8,0.42493869766597037,18716,44044
329.8,0.42493869766597037,18716,44044
334.8,0.42493869766597037,18716,44044
339.8,0.42493869766597037,18716,44044
344.8,0.42493869766597037,18716,44044
349.8,0.42493869766597037,18716,44044
354.8,0.42493869766597037,18716,44044
359.8,0.42493869766597037,18716,44044
364.8,0.42493869766597037,18716,44044
369.8,0.495799654890564,21837,44044
374.8,0.495799654890564,21837,44044
379.8,0.495799654890564,21837,44044
384.8,0.495799654890564,21837,44044
389.8,0.495799654890564,21837,44044
394.8,0.495799654890564,21837,44044
399.8,0.495799654890564,21837,44044
404.8,0.495799654890564,21837,44044
409.8,0.495799654890564,21837,44044
414.8,0.495799654890564,21837,44044
419.8,0.5084460993551903,22394,44044
424.8,0.5084460993551903,22394,44044
429.8,0.5084460993551903,22394,44044
434.8,0.5084460993551903,22394,44044
439.8,0.5084460993551903,22394,44044
444.8,0.5084460993551903,22394,44044
449.7,0.5084460993551903,22394,44044
454.7,0.5084460993551903,22394,44044
459.7,0.5084460993551903,22394,44044
464.7,0.5084460993551903,22394,44044
469.7,0.5084460993551903,22394,44044
474.7,0.5084460993551903,22394,44044
479.7,0.5084460993551903,22394,44044
484.7,0.5084460993551903,22394,44044
489.7,0.5084460993551903,22394,44044
494.7,0.5084460993551903,22394,44044
